File;StartLine;EndLine;LOC_BEFORE_REFACTORING;LOC_AFTER_REFACTORING;ProjectName;VersionProject;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/types/resources/URLResource.java;238;242;0;0;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/types/resources/URLResource.java;293;300;0;0;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/types/resources/URLResource.java;348;352;0;0;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/types/resources/URLResource.java;369;373;0;0;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/types/resources/URLResource.java;398;405;0;0;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/types/resources/URLResource.java;418;422;0;0;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/types/resources/URLResource.java;426;430;0;0;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/types/resources/BaseResourceCollectionContainer.java;122;128;0;0;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/types/resources/BaseResourceCollectionContainer.java;229;237;0;0;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/types/Permissions.java;150;163;0;0;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/types/Permissions.java;190;194;0;0;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/types/resolver/ApacheCatalogResolver.java;117;123;4;2;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/types/selectors/DifferentSelector.java;104;109;0;0;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/types/selectors/AbstractSelectorContainer.java;344;351;0;0;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/types/selectors/TokenizedPath.java;140;155;0;0;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/types/selectors/DepthSelector.java;98;103;0;0;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/types/selectors/DepthSelector.java;105;110;0;0;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/types/selectors/ContainsSelector.java;188;197;0;0;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/types/selectors/ContainsSelector.java;198;217;0;0;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/types/selectors/SizeSelector.java;173;178;0;0;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/types/selectors/modifiedselector/PropertiesfileCache.java;134;141;0;0;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/types/selectors/modifiedselector/PropertiesfileCache.java;160;168;0;0;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/types/selectors/modifiedselector/PropertiesfileCache.java;190;194;0;0;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/types/selectors/modifiedselector/HashvalueAlgorithm.java;56;67;0;0;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/types/selectors/modifiedselector/DigestAlgorithm.java;118;124;0;0;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/types/selectors/modifiedselector/DigestAlgorithm.java;126;130;0;0;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/types/selectors/modifiedselector/DigestAlgorithm.java;156;190;0;0;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/types/selectors/modifiedselector/DigestAlgorithm.java;163;187;0;0;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/types/selectors/modifiedselector/ChecksumAlgorithm.java;120;134;0;0;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/types/selectors/modifiedselector/ModifiedSelector.java;400;420;0;0;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/types/selectors/modifiedselector/ModifiedSelector.java;444;466;0;0;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/types/selectors/modifiedselector/ModifiedSelector.java;777;781;0;0;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/types/selectors/ContainsRegexpSelector.java;186;191;0;0;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/types/selectors/ContainsRegexpSelector.java;192;216;0;0;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/types/selectors/ContainsRegexpSelector.java;210;215;0;0;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/types/selectors/DateSelector.java;175;180;0;0;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/types/selectors/DateSelector.java;186;191;0;0;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/types/selectors/DateSelector.java;218;230;0;0;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/types/selectors/ExtendSelector.java;63;87;0;0;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/types/TarScanner.java;59;85;0;0;Ant;1.9.4;
/home/thiago/git/Projetos/Ant/apache-ant-1.9.4/src/main/org/apache/tools/ant/types/TarScanner.java;60;64;0;0;Ant;1.9.4;
