Variable,File,Type of variable,Project Name,Version Project,
theClass,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/AntClassLoader.java,Class<?>,apache-ant-1.9.0,1.9.0,
ent,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/Main.java,Entry<String,Object>,apache-ant-1.9.0,1.9.0,
targets,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/Main.java,Map<String,Target>,apache-ant-1.9.0,1.9.0,
entry,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/Main.java,Entry<String,Target>,apache-ant-1.9.0,1.9.0,
names,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/Main.java,Vector<String>,apache-ant-1.9.0,1.9.0,
names,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/Main.java,Vector<String>,apache-ant-1.9.0,1.9.0,
descriptions,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/Main.java,Vector<String>,apache-ant-1.9.0,1.9.0,
dependencies,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/Main.java,Vector<Enumeration<String>>,apache-ant-1.9.0,1.9.0,
args,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/ArgumentProcessor.java,List<String>,apache-ant-1.9.0,1.9.0,
args,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/ArgumentProcessor.java,List<String>,apache-ant-1.9.0,1.9.0,
arg,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/ArgumentProcessor.java,List<String>,apache-ant-1.9.0,1.9.0,
tasks,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/AntStructure.java,Hashtable<String,Class<?>>,apache-ant-1.9.0,1.9.0,
types,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/AntStructure.java,Hashtable<String,Class<?>>,apache-ant-1.9.0,1.9.0,
