Method,Package,Start in line,End in line,Project Name,Version Project,
findClassInComponents,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/AntClassLoader.java,1329,1367,apache-ant-1.9.0,1.9.0,
findBaseClass,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/AntClassLoader.java,1369,1386,apache-ant-1.9.0,1.9.0,
parseDepends,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/Target.java,145,182,apache-ant-1.9.0,1.9.0,
getDependencies,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/Target.java,250,258,apache-ant-1.9.0,1.9.0,
removeDuplicateTargets,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/Main.java,1111,1140,apache-ant-1.9.0,1.9.0,
getLoaderMap,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/JDBCTask.java,302,308,apache-ant-1.9.0,1.9.0,
iterator,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/DependSet.java,104,106,apache-ant-1.9.0,1.9.0,
createUnifiedSources,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/AbstractJarSignerTask.java,352,371,apache-ant-1.9.0,1.9.0,
resourceToURLs,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/Definer.java,357,385,apache-ant-1.9.0,1.9.0,
getParams,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/GenerateKey.java,94,100,apache-ant-1.9.0,1.9.0,
iterator,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/Concat.java,813,820,apache-ant-1.9.0,1.9.0,
getValues,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/Manifest.java,295,302,apache-ant-1.9.0,1.9.0,
getAttributeKeys,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/Manifest.java,603,611,apache-ant-1.9.0,1.9.0,
getWarnings,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/Manifest.java,746,753,apache-ant-1.9.0,1.9.0,
getWarnings,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/Manifest.java,1067,1089,apache-ant-1.9.0,1.9.0,
getSectionNames,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/Manifest.java,1166,1173,apache-ant-1.9.0,1.9.0,
getEnvironmentVariables,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/Execute.java,102,175,apache-ant-1.9.0,1.9.0,
getProcEnvironment,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/Execute.java,177,191,apache-ant-1.9.0,1.9.0,
getVMSLogicals,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/Execute.java,693,739,apache-ant-1.9.0,1.9.0,
getClassRefs,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/optional/depend/ClassFile.java,84,109,apache-ant-1.9.0,1.9.0,
getNsElements,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/MacroInstance.java,98,112,apache-ant-1.9.0,1.9.0,
getUnknownElements,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/MacroInstance.java,156,161,apache-ant-1.9.0,1.9.0,
getParams,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/Javadoc.java,231,238,apache-ant-1.9.0,1.9.0,
iterator,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/Javadoc.java,378,384,apache-ant-1.9.0,1.9.0,
getNested,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/MacroDef.java,146,151,apache-ant-1.9.0,1.9.0,
getAttributes,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/MacroDef.java,197,204,apache-ant-1.9.0,1.9.0,
getElements,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/MacroDef.java,206,214,apache-ant-1.9.0,1.9.0,
selectorElements,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/MatchingTask.java,261,268,apache-ant-1.9.0,1.9.0,
getOptions,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/Apt.java,232,239,apache-ant-1.9.0,1.9.0,
getModules,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/AbstractCvsTask.java,856,860,apache-ant-1.9.0,1.9.0,
iterator,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/Delete.java,98,100,apache-ant-1.9.0,1.9.0,
iterator,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/Delete.java,643,646,apache-ant-1.9.0,1.9.0,
getFilterSets,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/Copy.java,200,207,apache-ant-1.9.0,1.9.0,
getFilterChains,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/Copy.java,209,216,apache-ant-1.9.0,1.9.0,
scan,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/Copy.java,742,756,apache-ant-1.9.0,1.9.0,
buildMap,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/Copy.java,800,855,apache-ant-1.9.0,1.9.0,
